 Title,Date,Duration,Exercise,"Superset id",Weight,Reps,Distance,Time,"Set Type"
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Incline Chest Press",,40.000,12,,,WARMUP_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Incline Chest Press",,80.000,2,,,FEEDER_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Incline Chest Press",,100.000,7,,,TOP_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Incline Chest Press",,80.000,8,,,BACK_OFF_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Chest Press",,65.000,7,,,NORMAL_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Chest Press",,55.000,8,,,NORMAL_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Chest Press",,60.000,6,,,NORMAL_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Shoulder Press",,65.000,12,,,NORMAL_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Shoulder Press",,70.000,7,,,NORMAL_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Shoulder Press",,70.000,6,,,NORMAL_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Shoulder Press",,40.000,7,,,DROP_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"High Pulley Overhead Tricep Extension",,37.500,12,,,NORMAL_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"High Pulley Overhead Tricep Extension",,37.500,9,,,NORMAL_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"High Pulley Overhead Tricep Extension",,35.000,12,,,NORMAL_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Triceps Pushdown",,32.500,7,,,NORMAL_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Triceps Pushdown",,30.000,9,,,NORMAL_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Triceps Pushdown",,27.500,9,,,NORMAL_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Lateral Raise",,30.000,10,,,DROP_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Lateral Raise",,20.000,10,,,DROP_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Lateral Raise",,15.000,10,,,DROP_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Lateral Raise",,30.000,10,,,DROP_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Lateral Raise",,20.000,8,,,DROP_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Lateral Raise",,15.000,7,,,DROP_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Lateral Raise",,30.000,11,,,DROP_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Lateral Raise",,20.000,6,,,DROP_SET
PUSH,"2026-05-08 11:10:56",00:57:33,"Lever Lateral Raise",,15.000,6,,,DROP_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Barbell Lying Row on Rack",,70.000,12,,,TOP_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Barbell Lying Row on Rack",,70.000,10,,,TOP_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Barbell Lying Row on Rack",,70.000,10,,,BACK_OFF_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Lever High Row",,90.000,10,,,TOP_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Lever High Row",,80.000,12,,,BACK_OFF_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Lever High Row",,80.000,10,,,NORMAL_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Lever One Arm Low Row",,70.000,10,,,TOP_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Lever One Arm Low Row",,70.000,9,,,NORMAL_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Cable Unilateral Bicep Curl",,25.000,8,,,NORMAL_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Cable Unilateral Bicep Curl",,20.000,10,,,NORMAL_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Cable Unilateral Bicep Curl",,20.000,9,,,NORMAL_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Close Grip Preacher Curl",,30.000,6,,,NORMAL_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Close Grip Preacher Curl",,30.000,7,,,NORMAL_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Close Grip Preacher Curl",,30.000,5,,,NORMAL_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Lever Seated Reverse Fly",,22.500,9,,,NORMAL_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Lever Seated Reverse Fly",,22.500,7,,,NORMAL_SET
PULL,"2026-05-07 10:52:28",00:58:38,"Lever Seated Reverse Fly",,22.500,7,,,NORMAL_SET
"LEG ","2026-05-06 11:25:01",00:39:50,"Lever Belt Squat",,90.000,5,,,WARMUP_SET
"LEG ","2026-05-06 11:25:01",00:39:50,"Lever Belt Squat",,155.000,2,,,FEEDER_SET
"LEG ","2026-05-06 11:25:01",00:39:50,"Lever Belt Squat",,205.000,5,,,TOP_SET
"LEG ","2026-05-06 11:25:01",00:39:50,"Lever Belt Squat",,185.000,5,,,BACK_OFF_SET
"LEG ","2026-05-06 11:25:01",00:39:50,"Smith Deadlift",,40.000,7,,,FEEDER_SET
